latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
-1.60678,114.7902,2026-08-19,T,35,4.32,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.18411,113.79485,2026-08-19,T,55,6.85,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.26064,114.32792,2026-08-19,T,61,23.22,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.26948,114.3267,2026-08-19,T,44,9.72,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.70067,110.29932,2026-08-19,T,36,15.52,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-1.70969,110.28355,2026-08-19,T,69,19.21,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-2.21859,113.84501,2026-08-19,T,79,19.12,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.18281,113.78587,2026-08-19,T,81,19.23,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.22238,113.80787,2026-08-19,T,37,15.34,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.24025,113.86942,2026-08-19,T,39,6.34,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.25808,113.99443,2026-08-19,T,53,5.47,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.25935,114.00333,2026-08-19,T,51,5.72,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.23917,113.78989,2026-08-19,T,35,11.04,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.59797,114.79141,2026-08-19,T,69,8.78,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.24047,113.79888,2026-08-19,T,94,49.7,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.23002,113.79766,2026-08-19,T,97,67.24,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-1.64693,110.08504,2026-08-19,T,33,11.32,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-2.2313,113.80664,2026-08-19,T,47,21.88,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.37599,115.19777,2026-08-19,T,66,6.91,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-1.6747,114.99754,2026-08-19,T,75,12.42,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.70852,115.17159,2026-08-19,T,59,4.62,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.70977,115.18036,2026-08-19,T,64,6.0,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.67595,115.00629,2026-08-19,T,85,24.37,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-1.89903,115.86338,2026-08-19,T,79,14.89,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
-2.08273,114.24815,2026-08-19,T,83,20.97,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.09158,114.24693,2026-08-19,T,85,25.55,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
