acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-1,1001;109,7303;11,06;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,0631;116,3979;6,18;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0925;109,7201;8,25;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0859;109,7327;13,82;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0405;109,9091;9,32;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,8924;110,1465;18,79;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,8464;110,1859;16,64;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,1216;109,7107;11,91;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,1103;109,676;7,76;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,1018;109,734;5,83;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0669;109,9693;2,54;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9637;109,8008;8,78;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9644;109,7964;8,43;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,894;110,2224;10,92;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9592;109,8001;8,78;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9599;109,7958;8,43;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,8897;110,2218;7,33;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,8974;110,143;8,5;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-0,9681;109,8015;16,39;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,8918;110,1506;18,79;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0166;110,006;3,05;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9532;110,4207;11,87;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0361;109,9084;11,92;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,045;116,8011;24,85;Sedang;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0828;109,9235;7,82;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
